CPE,hora,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000033074862LZ,0,0.0,dia_util,13.0,15.5,4.95,-0.51,-0.51,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,1,0.0,dia_util,13.0,16.0,5.66,-0.53,-0.53,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,2,0.0,dia_util,13.0,16.0,5.66,-0.53,-0.53,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,3,0.0,dia_util,13.0,15.0,4.24,-0.47,-0.47,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,4,0.0,dia_util,13.0,15.5,4.95,-0.51,-0.51,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,5,0.0,dia_util,13.0,16.5,4.95,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,6,0.0,dia_util,13.0,15.5,4.95,-0.51,-0.51,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,7,0.0,dia_util,27.0,38.0,3.8,-2.89,-2.89,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,8,0.0,dia_util,48.0,49.0,4.9,-0.2,-0.2,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,9,0.0,dia_util,54.0,51.5,5.15,0.49,0.49,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,10,0.0,dia_util,48.0,55.0,5.5,-1.27,-1.27,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,11,0.0,dia_util,44.0,55.5,5.55,-2.07,-2.07,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,12,0.0,dia_util,55.0,57.0,5.7,-0.35,-0.35,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,13,0.0,dia_util,38.0,46.5,4.65,-1.83,-1.83,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,14,0.0,dia_util,30.0,38.0,9.9,-0.81,-0.81,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,15,0.0,dia_util,25.0,25.0,2.5,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,16,0.0,dia_util,25.0,23.5,2.35,0.64,0.64,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,17,0.0,dia_util,31.0,25.0,2.5,2.4,2.4,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,18,0.0,dia_util,20.0,20.5,2.05,-0.24,-0.24,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,19,0.0,dia_util,14.0,14.0,1.4,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,20,0.0,dia_util,13.0,13.5,1.35,-0.37,-0.37,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,21,0.0,dia_util,12.0,13.67,1.53,-1.09,-1.09,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,22,0.0,dia_util,12.0,15.0,4.36,-0.69,-0.69,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000033074862LZ,23,0.0,dia_util,13.0,15.0,3.46,-0.58,-0.58,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,0,,dia_util,29.0,24.5,10.61,0.42,0.42,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,1,,dia_util,30.0,24.5,10.61,0.52,0.52,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,2,,dia_util,28.0,25.0,12.73,0.24,0.24,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,3,,dia_util,22.0,23.5,10.61,-0.14,-0.14,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,4,,dia_util,22.0,22.5,9.19,-0.05,-0.05,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,5,,dia_util,18.0,20.0,5.66,-0.35,-0.35,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,6,,dia_util,18.0,17.5,3.54,0.14,0.14,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,7,,dia_util,27.0,23.0,4.24,0.94,0.94,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,8,,dia_util,44.0,33.0,7.07,1.56,1.56,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,9,,dia_util,54.0,44.0,4.4,2.27,2.27,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,10,,dia_util,62.0,55.0,5.5,1.27,1.27,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,11,,dia_util,76.0,71.0,7.1,0.7,0.7,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,12,,dia_util,84.0,73.5,7.35,1.43,1.43,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,13,,dia_util,90.0,89.0,8.9,0.11,0.11,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,14,,dia_util,96.0,89.5,8.95,0.73,0.73,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,15,,dia_util,91.0,91.0,9.1,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,16,,dia_util,86.0,83.5,8.35,0.3,0.3,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,17,,dia_util,89.0,78.5,7.85,1.34,1.34,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,18,,dia_util,88.0,80.0,16.97,0.47,0.47,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,19,,dia_util,76.0,84.0,22.63,-0.35,-0.35,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,20,,dia_util,26.0,64.5,7.78,-4.95,-4.95,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,21,,dia_util,22.0,34.33,17.79,-0.69,-0.69,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,22,,dia_util,19.0,31.67,10.12,-1.25,-1.25,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068855003AK,23,,dia_util,18.0,28.67,9.45,-1.13,-1.13,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,0,,dia_util,29.0,31.5,3.54,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,1,,dia_util,29.0,30.5,3.54,-0.42,-0.42,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,2,,dia_util,29.0,32.0,4.24,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,3,,dia_util,28.0,32.0,4.24,-0.94,-0.94,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,4,,dia_util,28.0,30.5,3.54,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,5,,dia_util,29.0,30.5,4.95,-0.3,-0.3,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,6,,dia_util,26.0,28.5,3.54,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,7,,dia_util,25.0,30.0,5.66,-0.88,-0.88,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,8,,dia_util,42.0,36.0,3.6,1.67,1.67,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,9,,dia_util,65.0,45.5,7.78,2.51,2.51,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,10,,dia_util,60.0,52.5,5.25,1.43,1.43,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,11,,dia_util,68.0,58.0,12.73,0.79,0.79,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,12,,dia_util,44.0,58.0,12.73,-1.1,-1.1,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,13,,dia_util,41.0,50.0,5.0,-1.8,-1.8,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,14,,dia_util,42.0,49.5,4.95,-1.52,-1.52,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,15,,dia_util,40.0,42.5,4.25,-0.59,-0.59,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,16,,dia_util,26.0,33.0,3.3,-2.12,-2.12,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,17,,dia_util,19.0,30.5,6.36,-1.81,-1.81,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,18,,dia_util,25.0,43.5,4.35,-4.25,-4.25,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,19,,dia_util,37.0,47.0,4.7,-2.13,-2.13,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,20,,dia_util,46.0,50.0,5.0,-0.8,-0.8,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,21,,dia_util,39.0,37.0,4.58,0.44,0.44,normal,acima,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,22,,dia_util,41.0,38.67,8.62,0.27,0.27,normal,acima,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856267NC,23,,dia_util,44.0,32.67,4.04,2.8,2.8,desvio,acima,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,0,0.0,dia_util,2.0,2.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,1,0.0,dia_util,2.0,2.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,2,0.0,dia_util,2.0,2.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,3,0.0,dia_util,2.0,2.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,4,0.0,dia_util,3.0,2.0,0.3,3.33,3.33,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,5,0.0,dia_util,2.0,2.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,6,0.0,dia_util,3.0,2.5,0.71,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,7,0.0,dia_util,4.0,3.0,1.41,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,8,0.0,dia_util,5.0,6.5,0.71,-2.12,-2.12,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,9,0.0,dia_util,10.0,10.0,1.41,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,10,0.0,dia_util,9.0,10.0,1.41,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,11,0.0,dia_util,11.0,10.0,1.41,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,12,0.0,dia_util,11.0,9.0,0.9,2.22,2.22,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,13,0.0,dia_util,9.0,8.5,0.85,0.59,0.59,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,14,0.0,dia_util,12.0,8.5,0.85,4.12,4.12,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,15,0.0,dia_util,10.0,8.5,0.85,1.76,1.76,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,16,0.0,dia_util,10.0,9.0,0.9,1.11,1.11,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,17,0.0,dia_util,8.0,8.5,0.85,-0.59,-0.59,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,18,0.0,dia_util,6.0,4.5,2.12,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,19,0.0,dia_util,5.0,4.0,4.24,0.24,0.24,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,20,0.0,dia_util,4.0,3.5,2.12,0.24,0.24,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,21,0.0,dia_util,4.0,4.33,0.58,-0.58,-0.58,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,22,0.0,dia_util,4.0,4.67,2.08,-0.32,-0.32,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856655YV,23,0.0,dia_util,4.0,3.0,1.0,1.0,1.0,normal,acima,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,0,0.0,dia_util,110.0,105.5,10.55,0.43,0.43,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,1,0.0,dia_util,108.0,106.0,10.6,0.19,0.19,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,2,0.0,dia_util,107.0,105.0,10.5,0.19,0.19,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,3,0.0,dia_util,107.0,104.5,10.45,0.24,0.24,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,4,0.0,dia_util,107.0,104.5,10.45,0.24,0.24,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,5,0.0,dia_util,106.0,104.0,10.4,0.19,0.19,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,6,0.0,dia_util,106.0,104.0,10.4,0.19,0.19,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,7,0.0,dia_util,107.0,105.0,10.5,0.19,0.19,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,8,0.0,dia_util,110.0,107.5,10.75,0.23,0.23,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,9,0.0,dia_util,120.0,119.0,11.9,0.08,0.08,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,10,0.0,dia_util,122.0,121.0,12.1,0.08,0.08,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,11,0.0,dia_util,123.0,121.0,12.1,0.17,0.17,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,12,0.0,dia_util,120.0,120.0,12.0,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,13,0.0,dia_util,117.0,116.0,11.6,0.09,0.09,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,14,0.0,dia_util,129.0,127.5,12.75,0.12,0.12,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,15,0.0,dia_util,127.0,127.0,12.7,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,16,0.0,dia_util,126.0,126.5,12.65,-0.04,-0.04,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,17,0.0,dia_util,119.0,119.5,11.95,-0.04,-0.04,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,18,0.0,dia_util,109.0,111.5,11.15,-0.22,-0.22,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,19,0.0,dia_util,109.0,111.0,11.1,-0.18,-0.18,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,20,0.0,dia_util,106.0,109.5,10.95,-0.32,-0.32,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,21,0.0,dia_util,106.0,98.33,17.62,0.44,0.44,normal,acima,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,22,0.0,dia_util,105.0,107.33,10.73,-0.22,-0.22,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856781NM,23,0.0,dia_util,105.0,107.0,10.7,-0.19,-0.19,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,0,,dia_util,141.0,231.5,23.15,-3.91,-3.91,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,1,,dia_util,133.0,225.0,38.18,-2.41,-2.41,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,2,,dia_util,135.0,227.5,22.75,-4.07,-4.07,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,3,,dia_util,123.0,214.5,36.06,-2.54,-2.54,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,4,,dia_util,124.0,213.0,21.3,-4.18,-4.18,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,5,,dia_util,122.0,207.5,20.75,-4.12,-4.12,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,6,,dia_util,126.0,216.0,36.77,-2.45,-2.45,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,7,,dia_util,319.0,302.5,71.42,0.23,0.23,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,8,,dia_util,369.0,392.5,55.86,-0.42,-0.42,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,9,,dia_util,419.0,370.5,113.84,0.43,0.43,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,10,,dia_util,449.0,405.0,123.04,0.36,0.36,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,11,,dia_util,463.0,481.5,50.2,-0.37,-0.37,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,12,,dia_util,475.0,468.0,46.8,0.15,0.15,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,13,,dia_util,497.0,491.0,49.1,0.12,0.12,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,14,,dia_util,514.0,460.0,98.99,0.55,0.55,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,15,,dia_util,517.0,504.5,50.45,0.25,0.25,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,16,,dia_util,514.0,573.5,57.35,-1.04,-1.04,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,17,,dia_util,512.0,510.0,51.0,0.04,0.04,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,18,,dia_util,520.0,539.5,53.95,-0.36,-0.36,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,19,,dia_util,505.0,560.5,56.05,-0.99,-0.99,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,20,,dia_util,482.0,462.5,91.22,0.21,0.21,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,21,,dia_util,429.0,341.33,136.24,0.64,0.64,normal,acima,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,22,,dia_util,206.0,340.0,100.14,-1.34,-1.34,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856826ZG,23,,dia_util,156.0,232.67,23.27,-3.3,-3.3,desvio,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,0,1.0,dia_util,1.0,1.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,1,1.0,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,2,1.0,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,3,1.0,dia_util,0.0,0.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,4,1.0,dia_util,1.0,0.5,0.71,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,5,1.0,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,6,1.0,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,7,1.0,dia_util,0.0,1.0,0.3,-3.33,-3.33,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,8,1.0,dia_util,1.0,0.0,0.3,3.33,3.33,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,9,1.0,dia_util,0.0,1.0,1.41,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,10,1.0,dia_util,0.0,0.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,11,1.0,dia_util,1.0,0.0,0.3,3.33,3.33,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,12,1.0,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,13,1.0,dia_util,0.0,0.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,14,1.0,dia_util,0.0,0.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,15,1.0,dia_util,1.0,0.0,0.3,3.33,3.33,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,16,1.0,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,17,1.0,dia_util,0.0,1.0,0.3,-3.33,-3.33,desvio,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,18,1.0,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,19,1.0,dia_util,1.0,0.0,0.3,3.33,3.33,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,20,1.0,dia_util,0.0,0.5,0.71,-0.71,-0.71,normal,abaixo,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,21,1.0,dia_util,0.0,0.33,0.58,-0.58,-0.58,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,22,1.0,dia_util,1.0,0.0,0.3,3.33,3.33,desvio,acima,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856872QG,23,1.0,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,baixa,3,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,0,0.0,dia_util,46.0,29.0,2.9,5.86,5.86,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,1,0.0,dia_util,50.0,30.0,7.07,2.83,2.83,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,2,0.0,dia_util,47.0,30.0,4.24,4.01,4.01,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,3,0.0,dia_util,49.0,33.0,3.3,4.85,4.85,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,4,0.0,dia_util,48.0,31.0,3.1,5.48,5.48,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,5,0.0,dia_util,47.0,31.0,3.1,5.16,5.16,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,6,0.0,dia_util,39.0,24.5,2.45,5.92,5.92,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,7,0.0,dia_util,37.0,25.0,2.83,4.24,4.24,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,8,0.0,dia_util,42.0,25.0,2.5,6.8,6.8,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,9,0.0,dia_util,46.0,28.0,2.8,6.43,6.43,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,10,0.0,dia_util,54.0,32.0,4.24,5.19,5.19,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,11,0.0,dia_util,74.0,38.0,3.8,9.47,9.47,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,12,0.0,dia_util,65.0,32.5,3.25,10.0,10.0,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,13,0.0,dia_util,69.0,33.5,4.95,7.17,7.17,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,14,0.0,dia_util,70.0,36.0,5.66,6.01,6.01,desvio,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,15,0.0,dia_util,77.0,47.0,19.8,1.52,1.52,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,16,0.0,dia_util,65.0,44.5,17.68,1.16,1.16,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,17,0.0,dia_util,65.0,49.0,18.38,0.87,0.87,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,18,0.0,dia_util,58.0,49.5,17.68,0.48,0.48,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,19,0.0,dia_util,57.0,47.0,14.14,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,20,0.0,dia_util,58.0,48.5,13.44,0.71,0.71,normal,acima,baixa,2,histórico dia_util (poucos dados),2.0
PT0002000068856906VS,21,0.0,dia_util,56.0,41.33,16.5,0.89,0.89,normal,acima,baixa,3,histórico dia_util (poucos dados),2.0
